id	difficulty	category	question	answer1	answer2	answer3	answer4	correct	explanation	reference
next-61	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Pedro?	Levítico	Esdras	Miqueias	1 João	3	1 João vem depois de 2 Pedro na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-61	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Pedro?	Obadias	1 Pedro	Gênesis	1 Crônicas	1	1 Pedro vem antes de 2 Pedro na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-62	fácil	estrutura da Bíblia	A qual Testamento pertence 1 João?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	1 João pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 1 João
chapters-62	difícil	estrutura da Bíblia	Quantos capítulos possui 1 João?	4	6	7	5	3	1 João possui 5 capítulos.	Estrutura de 1 João
next-62	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 João?	Neemias	Naum	2 João	Números	2	2 João vem depois de 1 João na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-62	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 João?	2 Pedro	Êxodo	2 Crônicas	Jonas	0	2 Pedro vem antes de 1 João na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-63	fácil	estrutura da Bíblia	A qual Testamento pertence 2 João?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	2 João pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 2 João
chapters-63	difícil	estrutura da Bíblia	Quantos capítulos possui 2 João?	2	5	1	3	2	2 João possui 1 capítulo.	Estrutura de 2 João
next-63	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 João?	Habacuque	3 João	Deuteronômio	Ester	1	3 João vem depois de 2 João na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-63	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 João?	Levítico	Esdras	Miqueias	1 João	3	1 João vem antes de 2 João na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-64	fácil	estrutura da Bíblia	A qual Testamento pertence 3 João?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	3 João pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 3 João
chapters-64	difícil	estrutura da Bíblia	Quantos capítulos possui 3 João?	5	1	3	2	1	3 João possui 1 capítulo.	Estrutura de 3 João
next-64	médio	ordem bíblica	Qual livro vem imediatamente depois de 3 João?	Judas	Josué	Jó	Sofonias	0	Judas vem depois de 3 João na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-64	médio	ordem bíblica	Qual livro vem imediatamente antes de 3 João?	Neemias	Naum	2 João	Números	2	2 João vem antes de 3 João na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-65	fácil	estrutura da Bíblia	A qual Testamento pertence Judas?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Judas pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Judas
chapters-65	difícil	estrutura da Bíblia	Quantos capítulos possui Judas?	1	3	2	5	0	Judas possui 1 capítulo.	Estrutura de Judas
next-65	médio	ordem bíblica	Qual livro vem imediatamente depois de Judas?	Juízes	Salmos	Ageu	Apocalipse	3	Apocalipse vem depois de Judas na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-65	médio	ordem bíblica	Qual livro vem imediatamente antes de Judas?	Habacuque	3 João	Deuteronômio	Ester	1	3 João vem antes de Judas na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-66	fácil	estrutura da Bíblia	A qual Testamento pertence Apocalipse?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Apocalipse pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Apocalipse
chapters-66	difícil	estrutura da Bíblia	Quantos capítulos possui Apocalipse?	21	23	27	22	3	Apocalipse possui 22 capítulos.	Estrutura de Apocalipse
previous-66	médio	ordem bíblica	Qual livro vem imediatamente antes de Apocalipse?	Judas	Josué	Jó	Sofonias	0	Judas vem antes de Apocalipse na ordem bíblica comum.	Ordem canônica dos 66 livros
